timestamp,gpu0_used_mb,gpu1_used_mb,gpu2_used_mb,gpu3_used_mb,gpu4_used_mb,gpu5_used_mb
2026-05-25 04:36:17,75761,72976,73036,73036,73036,72920
2026-05-25 04:36:27,41901,39116,39114,39114,39114,39038
2026-05-25 04:36:37,75761,73036,73036,73036,72516,72920
2026-05-25 04:36:47,76921,74736,75116,75116,75116,74920
2026-05-25 04:36:57,47401,44696,44694,44694,44754,44538
2026-05-25 04:37:07,75761,73036,73036,73036,72976,72860
2026-05-25 04:37:17,47581,45836,45596,47196,44136,45260
2026-05-25 04:37:27,46621,43916,43914,43914,43914,43758
2026-05-25 04:37:38,75761,73036,73036,72976,73036,72920
2026-05-25 04:37:48,54001,54756,55156,51756,54896,53960
2026-05-25 04:37:58,75301,72576,68576,68576,68576,68460
2026-05-25 04:38:08,75761,73036,72976,73036,73036,72920
2026-05-25 04:38:18,49321,47656,46614,46834,46614,46458
2026-05-25 04:38:28,75761,73036,73036,73036,73036,72860
2026-05-25 04:38:38,77221,73576,75036,74676,73876,74540
2026-05-25 04:38:48,72501,72016,72014,73134,69474,71858
2026-05-25 04:38:58,35981,32874,32874,32874,32874,32798
2026-05-25 04:39:08,65705,64258,64238,64258,64258,64282
2026-05-25 04:39:19,65705,64258,64238,64258,64258,64282
2026-05-25 04:39:29,65705,64258,64258,64258,64258,64282
2026-05-25 04:39:39,65705,64258,64258,64258,64258,64282
2026-05-25 04:39:49,65705,64258,64258,64258,64258,64282
2026-05-25 04:39:59,65705,64258,64258,64258,64258,64282
2026-05-25 04:40:09,65705,64258,64258,64258,64258,64282
2026-05-25 04:40:19,65705,64258,64258,64258,64258,64282
2026-05-25 04:40:29,65705,64258,64258,64258,64258,64282
2026-05-25 04:40:39,65705,64258,64258,64258,64258,64282
2026-05-25 04:40:49,65705,64258,64258,64258,64258,64282
2026-05-25 04:40:59,65705,64258,64258,64258,64258,64282
2026-05-25 04:41:09,65705,64258,64258,64258,64258,64282
2026-05-25 04:41:19,65705,64258,64258,64258,64258,64282
2026-05-25 04:41:30,65705,64258,64258,64258,64258,64282
2026-05-25 04:41:40,37421,34534,34534,34534,34534,34578
2026-05-25 04:41:50,60721,57834,57834,57834,57834,57878
2026-05-25 04:42:00,60723,57836,57836,57836,57836,57880
2026-05-25 04:42:10,60723,57836,57836,57836,41476,41040
